id,opis,oczekiwane,kategoria_modelu,wyjasnienie_pierwotne,analiza_logiki,ocena_jakosci,auto_krytyka,cytaty_z_odpowiedzi
1,"Pacjent zgłasza nagły, silny ból w klatce piersiowej promieniujący do lewej ręki, duszność, zimne poty i nudności.",PILNE,PILNE,Opisuje objawy typowe dla zawału serca. Wymaga natychmiastowej pomocy medycznej w SOR.,"Odpowiedź zakłada, że objawy pacjenta (nagły silny ból w klatce piersiowej, promieniujący do lewej ręki, duszność, zimne poty i nudności) są typowe dla zawału serca. Na tej podstawie zaleca natychmiastowe poszukanie pomocy medycznej.",80,"Chociaż objawy mogą wskazywać na zawał serca, istnieje możliwość, że są to objawy innego schorzenia kardiologicznego lub nawet nie kardiologicznego. Bez pełnego wywiadu i badania lekarskiego trudno jest jednoznacznie postawić diagnozę.","['nagły, silny ból w klatce piersiowej', 'duszność', 'zimne poty']"
2,"Nagłe osłabienie prawej strony ciała, opadanie kącika ust, problemy z mową, objawy pojawiły się godzinę temu.",PILNE,PILNE,"Objawy wskazują na potencjalny udar mózgu, wymagający natychmiastowej pomocy medycznej w szpitalu.","Odpowiedź stwierdza, że objawy pacjenta wskazują na potencjalny udar mózgu. To rozumowanie opiera się na założeniu, że opisane przez pacjenta dolegliwości (osłabienie prawej strony ciała, opadanie kącika ust, problemy z mową) są charakterystyczne dla udaru.",90,Możliwe pomylenie z innym schorzeniem o podobnych objawach np. napadami padaczkowymi. Brak szczegółów medycznych utrudnia precyzyjną diagnozę.,"['Nagłe osłabienie prawej strony ciała', 'opadanie kącika ust', 'problemy z mową']"
3,"Silny ból głowy o nagłym początku, najsilniejszy w życiu, sztywność karku i nudności.",PILNE,PILNE,"Silny, nagły ból głowy z towarzyszącymi objawami takimi jak sztywność karku i nudności mogą wskazywać na poważne schorzenie, np. udar mózgu.","Odpowiedź zakłada, że silny, nagły ból głowy (szczególnie ""najsilniejszy w życiu"") w połączeniu z sztywnością karku i nudnościami może wskazywać na poważne schorzenie, takie jak udar mózgu. ",70,Możliwe pomylenie z innymi stanami neurologicznymi lub problemami mięśniowymi. Brak informacji o wieku pacjenta i innych objawach.,"['Silny ból głowy o nagłym początku', 'najsilniejszy w życiu', 'sztywność karku']"
4,"Pacjent po urazie głowy, chwilowa utrata przytomności, dezorientacja i wymioty.",PILNE,PILNE,"Utrata przytomności, dezorientacja i wymioty po urazie głowy wskazują na potencjalne poważne uszkodzenie mózgu.","Odpowiedź zakłada, że utrata przytomności, dezorientacja i wymioty po urazie głowy są jednoznacznymi oznakami poważnego uszkodzenia mózgu.",60,Możliwe pomylenie z innymi przyczynami takich objawów. Należy zbadać dalszą historię medyczną pacjenta i przeprowadzić dokładny wywiad.,"['Utrata przytomności, dezorientacja i wymioty po urazie głowy wskazują na potencjalne poważne uszkodzenie mózgu.']"
5,"Wysoka gorączka powyżej 39 stopni, dreszcze, przyspieszony oddech i spadek ciśnienia.",PILNE,PILNE,"Wysoka gorączka, dreszcze, przyspieszony oddech i spadek ciśnienia mogą wskazywać na poważną infekcję lub stan septyczny.","Odpowiedź zakłada, że zestaw objawów pacjenta (gorączka, dreszcze, przyspieszony oddech, spadek ciśnienia) może wskazywać na poważne schorzenia takie jak infekcja lub sepsa. Logika opiera się na korelacji między opisanymi objawami a tymi typowymi dla tych stanów medycznych.",70,Możliwe pomylenie z innymi schorzeniami wywołującymi podobne objawy. Należy przeprowadzić dokładną diagnozę uwzględniającą historię choroby i inne czynniki.,"['Wysoka gorączka powyżej 39 stopni', 'dreszcze', 'przyspieszony oddech', 'spadek ciśnienia']"
6,"Nagła duszność, świszczący oddech, obrzęk warg i języka po użądleniu owada.",PILNE,PILNE,"Objawy wskazują na poważną reakcję alergiczną (anaphilaxja), wymagającą natychmiastowej pomocy medycznej.","Odpowiedź stwierdza, że objawy wskazują na poważną reakcję alergiczną (anaphilaxję), ponieważ pacjent doświadcza nagłej duszności, świszczącego oddechu i obrzęku warg i języka po użądleniu owada.  To zestawienie objawów jest charakterystyczny dla anafilaksji.",95,"Możliwe pomylenie z innymi stanami powodującymi duszność i obrzęk, np. wstrząsem anafilaktycznym spowodowanym innym czynnikiem niż użądlenie owada.","['Nagła duszność', 'świszczący oddech', 'obrzęk warg i języka po użądleniu owada']"
7,"Silny ból brzucha z twardością powłok, nasilający się przy dotyku, gorączka.",PILNE,PILNE,Silny ból brzucha z twardością i gorączką mogą wskazywać na poważne zapalenie otrzewnej lub inne stan zapalny narządów wewnętrznych.,"Odpowiedź zakłada korelacja między opisywanymi objawami a stanem zapalnym otrzewnej lub narządów wewnętrznych. Wynika to z faktu, że ból brzucha, twardość powłok i gorączka są typowymi objawami takich stanów zapalnych.",70,"Mimo że opisane objawy mogą wskazywać na poważne zapalenie, istnieje możliwość, że przyczyną jest coś innego. Brak informacji o historii medycznej pacjenta i innych szczegółach klinicznych utrudnia precyzyjne rozpoznanie.","['Silny ból brzucha z twardością powłok', 'nasilający się przy dotyku', 'gorączka']"
8,"Obfite krwawienie z przewodu pokarmowego, czarne stolce i osłabienie.",PILNE,PILNE,"Obfite krwawienie z przewodu pokarmowego i czarne stolce wskazują na poważne problemy żołądkowo-jelitowe, wymagające natychmiastowej pomocy medycznej.","Odpowiedź oparta na założeniu, że obfite krwawienie z przewodu pokarmowego i czarne stolce są poważnymi objawami żołądkowo-jelitowymi.  Nie została jednak rozważona inna możliwość przyczyn tych objawów.",60,Możliwe pomylenie z innymi chorobami powodującymi takie objawy np. zatruciem pokarmowym czy krwawieniem z nosa. Brak weryfikacji stopnia zagrożenia.,"['Obfite krwawienie z przewodu pokarmowego', 'Czarne stolce']"
9,"Pacjent z cukrzycą, splątany, zimna skóra, drżenie rąk, bardzo niskie stężenie glukozy.",PILNE,PILNE,"Pacjent wykazuje objawy hipoglikemii (niskie stężenie glukozy), które mogą grozić życiu. Wymaga natychmiastowej pomocy medycznej.","Odpowiedź oparła się na bezpośrednim stwierdzeniu ""bardzo niskie stężenie glukozy"" w opisie pacjenta. To sugeruje hipoglikemię, a następnie wskazano natychmiastową pomoc medyczną jako reakcję.",90,"Pomijana jest możliwość innych przyczyn objawów, takich jak reakcja na lek lub inne schorzenia. Brak szczegółowych informacji o pacjencie utrudnia precyzyjną diagnozę.",['bardzo niskie stężenie glukozy']
10,"Nagły spadek widzenia w jednym oku, bez bólu, objawy od kilkunastu minut.",PILNE,PILNE,Nagły spadek widzenia może być oznaką poważnego problemu neurologicznego lub naczyniowego wymagającego natychmiastowej oceny medycznej.,"Odpowiedź oparta jest na założeniu, że nagły spadek widzenia może wskazywać na poważny problem medyczny wymagający natychmiastowej oceny. Nie analizuje jednak przyczyn takiego spadku widzenia.",70,"Możliwe pomylenie z łagodniejszą przypadłością, np. migreną ocznej. Brak weryfikacji innych potencjalnych przyczyn.",['Nagły spadek widzenia']
